id,codigo,nombre,ubicacion
PI1627,PI1627,Parada 2 / P. Aguirre Cerda Altura del 5800,POINT(-70.70325352582496 -33.49207548842486)
PI1626,PI1626,Parada 2 / Comando Logístico FACH,POINT(-70.70111069864167 -33.489465423696096)
PI1625,PI1625,Parada 2 / Museo Aeronáutico,POINT(-70.6987934142279 -33.486799706325215)
PI1623,PI1623,Parada 4 / (M) Cerrillos,POINT(-70.69586403267213 -33.484072972228766)
PI1320,PI1320,Parada 7 / (M) Cerrillos,POINT(-70.69343302662847 -33.482307999838504)
PI288,PI288,Avenida Buzeta / esq. Avenida 5,POINT(-70.69138399598648 -33.48123600163694)
PI1319,PI1319,Parada / Plaza Buzeta,POINT(-70.68935399536403 -33.480176000718956)
PI289,PI289,Avenida Buzeta / esq. Avenida 1,POINT(-70.68732399421219 -33.47910399840895)
PH94,PH94,Parada 1 / (M) Lo Valledor,POINT(-70.6821611552294 -33.47843474333287)
PH95,PH95,Av. Alc. Carlos Valdovinos / esq. Central Nino García,POINT(-70.67927600298695 -33.47853099846286)
PH96,PH96,Av. Alc. Carlos Valdovinos / esq. Valenzuela Llanos,POINT(-70.67674490379422 -33.478575167850074)
PH97,PH97,Av. Alc. Carlos Valdovinos / esq. Belén,POINT(-70.67338086421731 -33.47864246802495)
PH1472,PH1472,Av. Alc. Carlos Valdovinos / esq. Av. Clotario Blest,POINT(-70.66918434495216 -33.47880100234678)
PH98,PH98,Parada 1 / (M) P. Aguirre Cerda,POINT(-70.66486919928091 -33.47877594456264)
PH99,PH99,Av. Alc. Carlos Valdovinos / esq. Panamericana 2,POINT(-70.66230999963221 -33.4788909984014)
PH100,PH100,Av. Alc. Carlos Valdovinos / esq. Juan de Bastidas,POINT(-70.66063299581927 -33.47896499664194)
PH101,PH101,Av. Alc. Carlos Valdovinos / esq. Los Talaveras,POINT(-70.65810900417786 -33.47894500366219)
PA17,PA17,Parada 2 / Centro de Justicia,POINT(-70.65508816064084 -33.4724439289379)
PA18,PA18,Parada 2 / (M) Rondizzoni,POINT(-70.65587250625009 -33.47059959856029)
PA19,PA19,Ñuble / esq. Lord Cochrane,POINT(-70.65251699906185 -33.4702769957119)
PA20,PA20,Lord Cochrane / esq. Pedro Lagos,POINT(-70.65230799900118 -33.46818300215887)
PA21,PA21,Lord Cochrane / esq. Victoria,POINT(-70.65265000224379 -33.46539599679422)
PA22,PA22,Lord Cochrane / esq. Santiago,POINT(-70.65295895763099 -33.46288907656025)
PA662,PA662,Lord Cochrane / esq. Av. Manuel A. Matta,POINT(-70.65328699750945 -33.46046099922826)
PA23,PA23,Lord Cochrane / esq. Aconcagua,POINT(-70.6534710003477 -33.45892699728924)
PA24,PA24,Lord Cochrane / esq. Copiapó,POINT(-70.65376205366525 -33.45626292610067)
PA25,PA25,Avenida 10 de Julio / esq. San Ignacio,POINT(-70.65532100202464 -33.45441200256508)
PA80,PA80,Parada 2 / (M) Toesca,POINT(-70.6584764848751 -33.45172265845288)
PA81,PA81,Parada 5 / (M) Los Héroes,POINT(-70.66032286393813 -33.44695775365943)
PA166,PA166,Parada 8 / (M) La Moneda,POINT(-70.65800100215023 -33.44603000084387)
PA30,PA30,San Ignacio / esq. Padre M. de Olivares,POINT(-70.65684866878162 -33.448815845420114)
PA31,PA31,Parada / Palacio Cousiño,POINT(-70.6563239376962 -33.451488900108664)
PA32,PA32,San Ignacio / esq. Av. 10 de Julio,POINT(-70.65578500216829 -33.453855999959316)
PA33,PA33,San Ignacio / esq. Coquimbo,POINT(-70.65572599815506 -33.45724900365168)
PA34,PA34,Parada 6 / (M) Parque O'Higgins,POINT(-70.65550699908133 -33.45998299892373)
PA630,PA630,San Ignacio / esq. Santiago,POINT(-70.65529299933213 -33.462543000790255)
PA633,PA633,Parada 5 / (M) Rondizzoni,POINT(-70.6546779975651 -33.47017100091326)
PA634,PA634,Parada 3 / Centro de Justicia,POINT(-70.65434797701911 -33.47337502238408)
