id,nombre,destino,tipo,frecuencias
113,113,Ciudad Satelite,3,"[[19800, 27000, 3600], [23400, 28800, 675], [23400, 32400, 1125], [27000, 46800, 900], [28800, 34200, 771], [32400, 43200, 830], [34200, 45000, 720], [43200, 54000, 900], [45000, 50400, 675], [46800, 64800, 900], [50400, 59400, 692], [54000, 70200, 900], [59400, 66600, 654], [64800, 75600, 900], [66600, 73800, 800], [70200, 79200, 1000], [73800, 79200, 675], [75600, 79200, 1200], [79200, 86400, 1200]]"
113c,113c,(M) Cerrillos,3,"[[19800, 23400, 1200], [23400, 28800, 490], [28800, 34200, 1800], [66600, 73800, 800]]"
113e,113e,Ciudad Satelite,3,"[[59400, 66600, 720], [66600, 73800, 514], [73800, 79200, 1350]]"
114,114,(M) Ñuñoa,3,"[[3600, 19800, 5400], [19800, 23400, 600], [19800, 27000, 1028], [23400, 28800, 490], [23400, 32400, 900], [27000, 46800, 1042], [28800, 34200, 675], [32400, 43200, 900], [34200, 45000, 720], [43200, 54000, 900], [45000, 50400, 675], [46800, 64800, 900], [50400, 59400, 750], [54000, 70200, 900], [59400, 66600, 720], [64800, 75600, 981], [66600, 73800, 800], [70200, 79200, 1125], [73800, 79200, 900], [75600, 79200, 1800], [79200, 86400, 1800]]"
115,115,(M) Los Heroes,3,"[[19800, 23400, 600], [19800, 27000, 1200], [23400, 28800, 600], [23400, 32400, 818], [27000, 46800, 1164], [28800, 34200, 675], [32400, 43200, 1080], [34200, 45000, 675], [43200, 54000, 900], [45000, 50400, 600], [46800, 64800, 1200], [50400, 59400, 500], [54000, 70200, 1246], [59400, 66600, 600], [64800, 75600, 1200], [66600, 73800, 800], [70200, 79200, 1000], [73800, 79200, 771], [75600, 79200, 1200], [79200, 86400, 1800]]"
115c,115c,© Villa El Abrazo -  (M) Cerrillos,3,"[[19800, 23400, 900], [23400, 28800, 900], [28800, 34200, 900], [59400, 66600, 1028], [66600, 73800, 1028]]"
116,116,Centro,3,"[[19800, 23400, 720], [19800, 27000, 1200], [23400, 28800, 675], [23400, 32400, 750], [27000, 46800, 900], [28800, 34200, 771], [32400, 43200, 720], [34200, 45000, 720], [43200, 54000, 771], [45000, 50400, 771], [46800, 64800, 947], [50400, 59400, 642], [54000, 70200, 952], [59400, 66600, 654], [64800, 75600, 1200], [66600, 73800, 720], [70200, 79200, 1285], [73800, 79200, 771], [75600, 79200, 1200], [79200, 86400, 1200]]"
117,117,(M) Vespucio Norte,3,"[[3600, 19800, 8100], [19800, 23400, 720], [19800, 27000, 1800], [23400, 28800, 450], [23400, 32400, 750], [27000, 46800, 900], [28800, 34200, 540], [32400, 43200, 720], [34200, 45000, 675], [43200, 54000, 720], [45000, 50400, 600], [46800, 64800, 900], [50400, 59400, 692], [54000, 70200, 900], [59400, 66600, 600], [64800, 75600, 1200], [66600, 73800, 600], [70200, 79200, 1125], [73800, 79200, 771], [75600, 79200, 1200], [79200, 86400, 1028]]"
117c,117c,© Huechuraba - Providencia,3,"[[19800, 23400, 900], [23400, 28800, 600], [28800, 34200, 1080], [50400, 59400, 4500], [59400, 66600, 720], [66600, 73800, 800], [73800, 79200, 1800]]"
118,118,La Florida,3,"[[19800, 23400, 514], [19800, 27000, 1028], [23400, 28800, 450], [23400, 32400, 900], [27000, 46800, 1042], [28800, 34200, 540], [32400, 43200, 900], [34200, 45000, 900], [43200, 54000, 830], [45000, 50400, 900], [46800, 64800, 1000], [50400, 59400, 750], [54000, 70200, 852], [59400, 66600, 600], [64800, 75600, 981], [66600, 73800, 600], [70200, 79200, 1000], [73800, 79200, 600], [75600, 79200, 1200], [79200, 86400, 1200]]"
119,119,Mapocho,3,"[[0, 3600, 1800], [3600, 19800, 1800], [19800, 23400, 327], [19800, 27000, 900], [23400, 28800, 300], [23400, 32400, 818], [27000, 46800, 900], [28800, 34200, 490], [32400, 43200, 900], [34200, 45000, 568], [43200, 54000, 900], [45000, 50400, 675], [46800, 64800, 900], [50400, 59400, 500], [54000, 70200, 900], [59400, 66600, 480], [64800, 75600, 900], [66600, 73800, 800], [70200, 79200, 1000], [73800, 79200, 900], [75600, 79200, 1200], [79200, 86400, 1200]]"
120,120,(M) La Cisterna,3,"[[3600, 19800, 2314], [19800, 23400, 600], [19800, 27000, 1200], [23400, 28800, 675], [23400, 32400, 900], [27000, 46800, 990], [28800, 34200, 771], [32400, 43200, 900], [34200, 45000, 720], [43200, 54000, 830], [45000, 50400, 771], [46800, 64800, 1000], [50400, 59400, 600], [54000, 70200, 900], [59400, 66600, 720], [64800, 75600, 1200], [66600, 73800, 720], [70200, 79200, 1285], [73800, 79200, 771], [75600, 79200, 900], [79200, 86400, 1200]]"
121,121,Mapocho,3,"[[19800, 23400, 600], [19800, 27000, 1200], [23400, 28800, 450], [23400, 32400, 692], [27000, 46800, 900], [28800, 34200, 600], [32400, 43200, 830], [34200, 45000, 675], [43200, 54000, 830], [45000, 50400, 675], [46800, 64800, 900], [50400, 59400, 692], [54000, 70200, 900], [59400, 66600, 553], [64800, 75600, 900], [66600, 73800, 553], [70200, 79200, 818], [73800, 79200, 900], [75600, 79200, 1200], [79200, 86400, 1800]]"
